name,loaning_club,player_value_in_moment_of_transfer,league,year,market_value_in_eur
Kell Watts,FC Stevenage,-,GB4,2019,
Kell Watts,Mansfield Town,-,GB4,2019,
Matty Longstaff,Colchester United,"1,80 mln €",GB4,2022,1800000.0
Matty Longstaff,Mansfield Town,"2,50 mln €",GB4,2021,1800000.0
Arthur Okonkwo,Crewe Alexandra,"1,50 mln €",GB4,2022,1500000.0
Ethan Galbraith,Salford City,800 tys. €,GB4,2022,800000.0
Ethan Galbraith,Doncaster Rovers,900 tys. €,GB3,2021,800000.0
Ryan Schofield,Crawley Town,500 tys. €,GB4,2022,500000.0
Ryan Schofield,Notts County,100 tys. €,GB4,2018,500000.0
Adam Lewis,Newport County,500 tys. €,GB4,2022,500000.0
Adam Lewis,Plymouth Argyle,500 tys. €,GB3,2020,500000.0
Daryl Horgan,FC Stevenage,450 tys. €,GB4,2022,450000.0
D'Mani Mellor,AFC Rochdale,450 tys. €,GB4,2022,450000.0
D'Mani Mellor,Salford City,-,GB4,2021,450000.0
Dean Campbell,FC Stevenage,425 tys. €,GB4,2022,425000.0
Jamie McCart,Leyton Orient,400 tys. €,GB4,2022,400000.0
Logan Chalmers,Tranmere Rovers,375 tys. €,GB4,2022,375000.0
Josh Eppiah,Northampton Town,350 tys. €,GB4,2022,350000.0
Josh Eppiah,Northampton Town,350 tys. €,GB4,2021,350000.0
Teddy Jenks,Crawley Town,325 tys. €,GB4,2022,325000.0
Jack Hamilton,Hartlepool United,325 tys. €,GB4,2022,325000.0
Jack Hamilton,Hartlepool United,325 tys. €,GB4,2022,300000.0
Marc Leonard,Northampton Town,300 tys. €,GB4,2022,300000.0
Dan Kemp,Hartlepool United,300 tys. €,GB4,2022,300000.0
Dan Kemp,FC Blackpool,-,GB3,2020,300000.0
Dan Kemp,FC Stevenage,-,GB4,2019,300000.0
Kasey McAteer,AFC Wimbledon,300 tys. €,GB4,2022,300000.0
Kasey McAteer,Forest Green Rovers,300 tys. €,GB4,2021,300000.0
Max Woltman,Doncaster Rovers,300 tys. €,GB4,2022,300000.0
Danny Johnson,FC Walsall,300 tys. €,GB4,2022,300000.0
Dara Costelloe,Bradford City,300 tys. €,GB4,2022,300000.0
Ashley Maynard-Brewer,FC Gillingham,300 tys. €,GB4,2022,300000.0
Conor Masterson,FC Gillingham,300 tys. €,GB4,2022,300000.0
Conor Masterson,Cambridge United,300 tys. €,GB3,2021,300000.0
Conor Masterson,FC Gillingham,300 tys. €,GB3,2021,300000.0
Conor Masterson,Swindon Town,300 tys. €,GB3,2020,300000.0
Regan Hendry,Tranmere Rovers,300 tys. €,GB4,2022,300000.0
Kieran Sadlier,Leyton Orient,300 tys. €,GB4,2022,300000.0
Matty Daly,Harrogate Town,250 tys. €,GB4,2022,250000.0
Matty Daly,Hartlepool United,250 tys. €,GB4,2021,250000.0
Matty Daly,Bradford City,250 tys. €,GB4,2021,250000.0
Charlie Lakin,Doncaster Rovers,250 tys. €,GB4,2022,250000.0
Charlie Lakin,FC Stevenage,100 tys. €,GB4,2019,250000.0
Dion Pereira,Bradford City,250 tys. €,GB4,2022,250000.0
Dion Pereira,Bradford City,300 tys. €,GB4,2021,250000.0
Daniel Adshead,AFC Rochdale,250 tys. €,GB4,2022,250000.0
Daniel Adshead,FC Gillingham,200 tys. €,GB3,2021,250000.0
Dan Chesters,Colchester United,250 tys. €,GB4,2022,250000.0
Scott Banks,Bradford City,250 tys. €,GB4,2022,250000.0
Josh Reid,FC Stevenage,250 tys. €,GB4,2022,250000.0
Kazeem Olaigbe,Harrogate Town,225 tys. €,GB4,2022,225000.0
Caleb Chukwuemeka,Crawley Town,200 tys. €,GB4,2022,200000.0
Lewis Richardson,Grimsby Town,200 tys. €,GB4,2022,200000.0
Aaron Rowe,Stockport County,200 tys. €,GB4,2022,200000.0
Ed Turns,Leyton Orient,200 tys. €,GB4,2022,200000.0
Rayhaan Tulloch,AFC Rochdale,200 tys. €,GB4,2022,200000.0
Rayhaan Tulloch,Doncaster Rovers,-,GB3,2020,200000.0
Kwesi Appiah,Colchester United,200 tys. €,GB4,2022,200000.0
Jonathan Tomkinson,FC Stevenage,150 tys. €,GB4,2022,150000.0
Hayden Lindley,Newport County,150 tys. €,GB4,2022,150000.0
Jack Jenkins,Salford City,150 tys. €,GB4,2022,150000.0
Femi Seriki,AFC Rochdale,150 tys. €,GB4,2022,150000.0
Ryan Finnigan,Crewe Alexandra,150 tys. €,GB4,2022,150000.0
Jack Spong,Crawley Town,150 tys. €,GB4,2022,150000.0
Tolaji Bola,Bradford City,150 tys. €,GB4,2022,150000.0
Tolaji Bola,AFC Rochdale,-,GB3,2020,150000.0
Jake Eastwood,AFC Rochdale,100 tys. €,GB4,2022,100000.0
Jake Eastwood,FC Portsmouth,100 tys. €,GB3,2021,100000.0
Jake Eastwood,Grimsby Town,100 tys. €,GB4,2020,100000.0
Jake Eastwood,Scunthorpe United,100 tys. €,GB4,2019,100000.0
Yann Songo'o,FC Walsall,100 tys. €,GB4,2022,100000.0
Thomas Dickson-Peters,Grimsby Town,100 tys. €,GB4,2022,100000.0
Thomas Dickson-Peters,FC Gillingham,100 tys. €,GB3,2021,100000.0
James Brown,Doncaster Rovers,100 tys. €,GB4,2022,325000.0
James Brown,Stockport County,100 tys. €,GB4,2022,325000.0
James Brown,Lincoln City,150 tys. €,GB4,2018,325000.0
Khanya Leshabela,Crewe Alexandra,100 tys. €,GB4,2022,100000.0
Khanya Leshabela,Shrewsbury Town,100 tys. €,GB3,2021,100000.0
Vitezslav Jaros,Stockport County,100 tys. €,GB4,2022,100000.0
Stephen Duke-McKenna,Leyton Orient,50 tys. €,GB4,2022,50000.0
Cieran Slicker,AFC Rochdale,-,GB4,2022,
Ben Nelson,AFC Rochdale,-,GB4,2022,
Ben Nelson,Doncaster Rovers,-,GB4,2022,
Alfie McCalmont,Carlisle United,-,GB4,2022,
Alfie McCalmont,FC Morecambe,-,GB3,2021,
Alfie McCalmont,Oldham Athletic,-,GB4,2020,
Nathan Young-Coombes,AFC Wimbledon,-,GB4,2022,
Mazeed Ogungbo,Crawley Town,-,GB4,2022,
Owen Dodgson,AFC Rochdale,-,GB4,2022,
James Balagizi,Crawley Town,-,GB4,2022,
Jack Robinson,Carlisle United,-,GB4,2022,700000.0
Ben Barclay,Carlisle United,-,GB4,2022,
Ben Barclay,Notts County,-,GB4,2018,
Lewis Richards,Harrogate Town,-,GB4,2022,
Lewis Richards,Harrogate Town,-,GB4,2021,
John-Kymani Gordon,Carlisle United,-,GB4,2022,
Todd Cantwell,AFC Bournemouth,"20,00 mln €",GB2,2021,8000000.0
Abdallah Sima,Stoke City,"11,00 mln €",GB2,2021,7000000.0
Freddie Woodman,AFC Bournemouth,"10,00 mln €",GB2,2021,6000000.0
Freddie Woodman,Swansea City,"3,20 mln €",GB2,2020,6000000.0
Freddie Woodman,Swansea City,500 tys. €,GB2,2019,6000000.0
Neco Williams,FC Fulham,"8,00 mln €",GB2,2021,18000000.0
Nathaniel Phillips,AFC Bournemouth,"8,00 mln €",GB2,2021,6000000.0
Filip Uremovic,Sheffield United,"7,00 mln €",GB2,2021,4000000.0
Morgan Gibbs-White,Sheffield United,"7,00 mln €",GB2,2021,25000000.0
Morgan Gibbs-White,Swansea City,"7,20 mln €",GB2,2020,25000000.0
Andraz Sporar,FC Middlesbrough,"5,00 mln €",GB2,2021,5000000.0
Hannes Wolf,Swansea City,"5,00 mln €",GB2,2021,4000000.0
Marcus Forss,Hull City,"4,50 mln €",GB2,2021,3000000.0
Marcus Forss,AFC Wimbledon,150 tys. €,GB3,2019,3000000.0
Andre Gray,Queens Park Rangers,"4,00 mln €",GB2,2021,2000000.0
Tahith Chong,Birmingham City,"4,00 mln €",GB2,2021,2500000.0
Josh Maja,Stoke City,"4,00 mln €",GB2,2021,4000000.0
Folarin Balogun,FC Middlesbrough,"4,00 mln €",GB2,2021,14000000.0
James Léa Siliki,FC Middlesbrough,"4,00 mln €",GB2,2021,1500000.0
James Garner,Nottingham Forest,"4,00 mln €",GB2,2021,14000000.0
James Garner,Nottingham Forest,"3,50 mln €",GB2,2020,14000000.0
James Garner,FC Watford,"2,70 mln €",GB2,2020,14000000.0
Deyovaisio Zeefuik,Blackburn Rovers,"3,50 mln €",GB2,2021,1500000.0
Liam Moore,Stoke City,"3,50 mln €",GB2,2021,1000000.0
Conor Hourihane,Sheffield United,"3,50 mln €",GB2,2021,1800000.0
Conor Hourihane,Swansea City,"6,00 mln €",GB2,2020,1800000.0
Sam McCallum,Queens Park Rangers,"3,50 mln €",GB2,2021,3000000.0
Sam McCallum,Coventry City,750 tys. €,GB2,2020,3000000.0
Sam McCallum,Coventry City,-,GB3,2019,3000000.0
Danny Drinkwater,FC Reading,"3,00 mln €",GB2,2021,700000.0
Allahyar Sayyadmanesh,Hull City,"3,00 mln €",GB2,2021,4000000.0
Robin Olsen,Sheffield United,"3,00 mln €",GB2,2021,2000000.0
Philip Zinckernagel,Nottingham Forest,"3,00 mln €",GB2,2021,3500000.0
Josh Murphy,Preston North End,"3,00 mln €",GB2,2021,1800000.0
Ben Davies,Sheffield United,"3,00 mln €",GB2,2021,2500000.0
Ben Davies,Sheffield United,"3,00 mln €",GB2,2021,20000000.0
Max Lowe,Nottingham Forest,"3,00 mln €",GB2,2021,2500000.0
Sheyi Ojo,FC Millwall,"3,00 mln €",GB2,2021,2000000.0
Sheyi Ojo,Cardiff City,"1,60 mln €",GB2,2020,2000000.0
Leo Östigard,Stoke City,"3,00 mln €",GB2,2021,7000000.0
Leo Östigard,Coventry City,"2,50 mln €",GB2,2020,7000000.0
Matt Clarke,West Bromwich Albion,"3,00 mln €",GB2,2021,4000000.0
Matt Clarke,Derby County,"2,00 mln €",GB2,2020,4000000.0
Matt Clarke,Derby County,200 tys. €,GB2,2019,4000000.0
Jan Paul van Hecke,Blackburn Rovers,"2,20 mln €",GB2,2021,5000000.0
Onel Hernández,FC Middlesbrough,"2,00 mln €",GB2,2021,1200000.0
Onel Hernández,Birmingham City,"1,50 mln €",GB2,2021,1200000.0
Romaine Sawyers,Stoke City,"2,00 mln €",GB2,2021,1200000.0
Jake Clarke-Salter,Coventry City,"2,00 mln €",GB2,2021,2500000.0
Jake Clarke-Salter,Birmingham City,"2,80 mln €",GB2,2020,2500000.0
Jake Clarke-Salter,Birmingham City,"2,00 mln €",GB2,2019,2500000.0
Djed Spence,Nottingham Forest,"2,00 mln €",GB2,2021,13000000.0
Teden Mengi,Birmingham City,"2,00 mln €",GB2,2021,2000000.0
Teden Mengi,Derby County,"1,00 mln €",GB2,2020,2000000.0
Jordan Hugill,West Bromwich Albion,"2,00 mln €",GB2,2021,900000.0
Jordan Hugill,Cardiff City,"1,80 mln €",GB2,2021,900000.0
Jordan Hugill,Queens Park Rangers,"6,00 mln €",GB2,2019,900000.0
Jordan Hugill,FC Middlesbrough,"8,00 mln €",GB2,2018,900000.0
Amine Bassi,FC Barnsley,"1,80 mln €",GB2,2021,1000000.0
Benik Afobe,FC Millwall,"1,80 mln €",GB2,2021,1800000.0
Benik Afobe,Bristol City,"8,00 mln €",GB2,2019,1800000.0
Benik Afobe,Stoke City,"10,00 mln €",GB2,2018,1800000.0
Luke Freeman,FC Millwall,"1,20 mln €",GB2,2021,900000.0
Luke Freeman,Nottingham Forest,"2,80 mln €",GB2,2020,900000.0
Jordi Osei-Tutu,Nottingham Forest,"1,20 mln €",GB2,2021,1500000.0
Jordi Osei-Tutu,Rotherham United,"1,20 mln €",GB3,2021,1500000.0
Jordi Osei-Tutu,Cardiff City,"1,00 mln €",GB2,2020,1500000.0
Hayden Coulson,Peterborough United,"1,20 mln €",GB2,2021,850000.0
Hayden Coulson,Ipswich Town,"1,20 mln €",GB3,2021,850000.0
Hayden Coulson,Cambridge United,100 tys. €,GB4,2018,850000.0
Daniel Iversen,Preston North End,"1,20 mln €",GB2,2021,2000000.0
Daniel Iversen,Preston North End,600 tys. €,GB2,2020,2000000.0
Daniel Iversen,Rotherham United,500 tys. €,GB3,2019,2000000.0
Daniel Iversen,Oldham Athletic,50 tys. €,GB4,2018,2000000.0
Matt Smith,Hull City,"1,00 mln €",GB2,2021,350000.0
Matt Smith,Doncaster Rovers,-,GB3,2021,350000.0
Matt Smith,Doncaster Rovers,900 tys. €,GB3,2020,350000.0
Matt Smith,Charlton Athletic,-,GB3,2020,350000.0
Matt Smith,Swindon Town,-,GB3,2020,350000.0
Matt Smith,Queens Park Rangers,"1,50 mln €",GB2,2019,350000.0
Matt Smith,Charlton Athletic,"1,50 mln €",GB2,2019,350000.0
Tom Ince,FC Reading,"1,00 mln €",GB2,2021,1500000.0
Tom Ince,Luton Town,"2,80 mln €",GB2,2020,1500000.0
Rémy Vita,FC Barnsley,"1,00 mln €",GB2,2021,800000.0
Jayson Molumby,West Bromwich Albion,"1,00 mln €",GB2,2021,1200000.0
Jayson Molumby,Preston North End,900 tys. €,GB2,2020,1200000.0
Jayson Molumby,FC Millwall,-,GB2,2019,1200000.0
Cyrus Christie,Swansea City,"1,00 mln €",GB2,2021,1200000.0
Cyrus Christie,Nottingham Forest,"1,60 mln €",GB2,2020,1200000.0
Uche Ikpeazu,Cardiff City,800 tys. €,GB2,2021,700000.0
Leif Davis,AFC Bournemouth,800 tys. €,GB2,2021,800000.0
Jed Steer,Luton Town,800 tys. €,GB2,2021,600000.0
Jed Steer,Charlton Athletic,500 tys. €,GB3,2018,600000.0
Lyle Taylor,Birmingham City,700 tys. €,GB2,2021,350000.0
Juan Familia-Castillo,Birmingham City,700 tys. €,GB2,2021,500000.0
Juan Familia-Castillo,Charlton Athletic,500 tys. €,GB3,2021,500000.0
Tom Dele-Bashiru,FC Reading,700 tys. €,GB2,2021,2000000.0
Karl Hein,FC Reading,450 tys. €,GB2,2021,1500000.0
Claudio Gomes,FC Barnsley,450 tys. €,GB2,2021,1300000.0
Finley Burns,Swansea City,300 tys. €,GB2,2021,300000.0
Nathan Baxter,Hull City,300 tys. €,GB2,2021,600000.0
Nathan Baxter,Accrington Stanley,75 tys. €,GB3,2020,600000.0
Nathan Baxter,Yeovil Town,-,GB4,2018,600000.0
Alex Palmer,Luton Town,250 tys. €,GB2,2021,500000.0
Alex Palmer,Lincoln City,-,GB3,2020,500000.0
Alex Palmer,Plymouth Argyle,-,GB4,2019,500000.0
Alex Palmer,Notts County,-,GB4,2018,500000.0
Alex Palmer,Oldham Athletic,-,GB4,2018,500000.0
Leighton Clarkson,Blackburn Rovers,150 tys. €,GB2,2021,800000.0
Ryan Longman,Hull City,-,GB2,2021,1500000.0
Ryan Longman,AFC Wimbledon,-,GB3,2020,1500000.0
Levi Colwill,Huddersfield Town,-,GB2,2021,10000000.0
Jack Clarke,AFC Sunderland,"5,00 mln €",GB3,2021,4000000.0
Jack Clarke,Stoke City,"5,40 mln €",GB2,2020,4000000.0
Jack Clarke,Queens Park Rangers,"6,00 mln €",GB2,2019,4000000.0
Jack Clarke,Leeds United,"6,00 mln €",GB2,2019,4000000.0
Harry Arter,Charlton Athletic,"2,00 mln €",GB3,2021,600000.0
Harry Arter,FC Fulham,"7,00 mln €",GB2,2019,600000.0
Leon Dajaku,AFC Sunderland,"1,80 mln €",GB3,2021,900000.0
Jonathan Leko,Charlton Athletic,"1,50 mln €",GB3,2021,600000.0
Jonathan Leko,Charlton Athletic,"1,00 mln €",GB2,2019,600000.0
Pontus Dahlberg,FC Gillingham,"1,20 mln €",GB3,2021,1000000.0
Pontus Dahlberg,Doncaster Rovers,"1,20 mln €",GB3,2021,1000000.0
Frederik Alves,AFC Sunderland,"1,00 mln €",GB3,2021,600000.0
Daniel Jebbison,Burton Albion,"1,00 mln €",GB3,2021,1000000.0
Bailey Peacock-Farrell,Sheffield Wednesday,"1,00 mln €",GB3,2021,900000.0
Dominic Thompson,Ipswich Town,800 tys. €,GB3,2021,1800000.0
Dominic Thompson,Swindon Town,400 tys. €,GB3,2020,1800000.0
Christian Walton,Ipswich Town,800 tys. €,GB3,2021,800000.0
Christian Walton,Blackburn Rovers,"1,00 mln €",GB2,2019,800000.0
Christian Walton,Wigan Athletic,250 tys. €,GB2,2018,800000.0
Herbie Kane,Oxford United,700 tys. €,GB3,2021,800000.0
Herbie Kane,Hull City,250 tys. €,GB2,2019,800000.0
Herbie Kane,Doncaster Rovers,-,GB3,2018,800000.0
Elliot Lee,Charlton Athletic,600 tys. €,GB3,2021,
Elliot Lee,Oxford United,900 tys. €,GB3,2020,
Ron-Thorben Hoffmann,AFC Sunderland,600 tys. €,GB3,2021,400000.0
Florian Kamberi,Sheffield Wednesday,550 tys. €,GB3,2021,450000.0
Jacob Maddox,Burton Albion,500 tys. €,GB3,2021,500000.0
Jacob Maddox,Tranmere Rovers,-,GB3,2019,500000.0
Jacob Maddox,Cheltenham Town,-,GB4,2018,500000.0
Ciaron Brown,Oxford United,400 tys. €,GB3,2021,300000.0
Ethan Robson,Milton Keynes Dons,400 tys. €,GB3,2021,300000.0
Ethan Robson,Grimsby Town,500 tys. €,GB4,2019,300000.0
Josh Harrop,Fleetwood Town,400 tys. €,GB3,2021,250000.0
Josh Harrop,Ipswich Town,700 tys. €,GB3,2020,250000.0
Trevor Carson,FC Morecambe,350 tys. €,GB3,2021,350000.0
Joel Mumbongo,Accrington Stanley,300 tys. €,GB3,2021,300000.0
Matej Kovar,Burton Albion,250 tys. €,GB3,2021,900000.0
Matej Kovar,Swindon Town,250 tys. €,GB3,2020,900000.0
Mattie Pollock,Cheltenham Town,250 tys. €,GB3,2021,300000.0
Kayne Ramsay,Crewe Alexandra,250 tys. €,GB3,2021,250000.0
Kayne Ramsay,Shrewsbury Town,-,GB3,2019,250000.0
Dapo Mebude,AFC Wimbledon,200 tys. €,GB3,2021,300000.0
Nile John,Charlton Athletic,200 tys. €,GB3,2021,400000.0
Marcel Lewis,Accrington Stanley,150 tys. €,GB3,2021,150000.0
Akin Famewo,Charlton Athletic,100 tys. €,GB3,2021,250000.0
Akin Famewo,Charlton Athletic,25 tys. €,GB3,2020,250000.0
Akin Famewo,Grimsby Town,25 tys. €,GB4,2018,250000.0
Zak Jules,Fleetwood Town,100 tys. €,GB3,2021,150000.0
Daniel Phillips,FC Gillingham,100 tys. €,GB3,2021,100000.0
Adam Phillips,FC Morecambe,75 tys. €,GB3,2021,150000.0
Adam Phillips,Accrington Stanley,75 tys. €,GB3,2020,150000.0
Adam Phillips,FC Morecambe,75 tys. €,GB4,2020,150000.0
Adam Phillips,FC Morecambe,75 tys. €,GB4,2019,150000.0
Josh McPake,FC Morecambe,75 tys. €,GB3,2021,125000.0
Josh McPake,Tranmere Rovers,75 tys. €,GB4,2021,125000.0
Josh McPake,Harrogate Town,75 tys. €,GB4,2020,125000.0
Marlon Fossey,Bolton Wanderers,-,GB3,2021,1000000.0
Marlon Fossey,Shrewsbury Town,-,GB3,2020,1000000.0
Archie Mair,Lincoln City,-,GB3,2021,
Ryan Edmondson,Fleetwood Town,-,GB3,2021,
Ryan Edmondson,Port Vale FC,-,GB4,2021,
Ryan Edmondson,Northampton Town,-,GB3,2020,
Sam Hughes,Burton Albion,-,GB3,2021,300000.0
Sam Hughes,Burton Albion,-,GB3,2020,300000.0
Sam Hughes,Salford City,-,GB4,2019,300000.0
Tiago Cukur,Doncaster Rovers,-,GB3,2021,250000.0
James Trafford,Accrington Stanley,-,GB3,2021,1000000.0
James Trafford,Bolton Wanderers,-,GB3,2021,1000000.0
Jack Young,Wycombe Wanderers,-,GB3,2021,250000.0
Jack Young,Tranmere Rovers,-,GB4,2020,250000.0
Gavin Bazunu,FC Portsmouth,-,GB3,2021,15000000.0
Gavin Bazunu,AFC Rochdale,-,GB3,2020,15000000.0
Ryan Alebiosu,Crewe Alexandra,-,GB3,2021,350000.0
J'Neil Bennett,Crewe Alexandra,-,GB3,2021,
Nathan Holland,Oxford United,-,GB3,2021,500000.0
Nathan Holland,Oxford United,-,GB3,2019,500000.0
Ben Knight,Crewe Alexandra,-,GB3,2021,300000.0
Jamie Soule,Cheltenham Town,-,GB3,2021,
Jamie Soule,Lincoln City,-,GB3,2020,
Scott Robertson,Crewe Alexandra,-,GB3,2021,
Scott Robertson,Crewe Alexandra,-,GB3,2021,150000.0
Scott Robertson,FC Gillingham,-,GB3,2020,
Scott Robertson,FC Gillingham,-,GB3,2020,150000.0
Scott Robertson,Doncaster Rovers,-,GB3,2020,
Scott Robertson,Doncaster Rovers,-,GB3,2020,150000.0
Luke Matheson,Scunthorpe United,600 tys. €,GB4,2021,600000.0
Luke Matheson,Ipswich Town,900 tys. €,GB3,2020,600000.0
Luke Matheson,AFC Rochdale,-,GB3,2019,600000.0
Jamie Murphy,Mansfield Town,550 tys. €,GB4,2021,450000.0
Jamie Murphy,Burton Albion,"1,00 mln €",GB3,2019,450000.0
Luke Thomas,Bristol Rovers,500 tys. €,GB4,2021,10000000.0
Luke Thomas,Ipswich Town,800 tys. €,GB3,2020,10000000.0
Luke Thomas,Coventry City,-,GB3,2018,10000000.0
Stephen Kelly,Salford City,400 tys. €,GB4,2021,
Stephen Kelly,Salford City,400 tys. €,GB4,2021,400000.0
Jamie Walker,Bradford City,400 tys. €,GB4,2021,
Jamie Walker,Bradford City,400 tys. €,GB4,2021,400000.0
Jamie Walker,Peterborough United,750 tys. €,GB3,2018,
Jamie Walker,Peterborough United,750 tys. €,GB3,2018,400000.0
Josh Pask,Newport County,300 tys. €,GB4,2021,100000.0
Nathan Bishop,Mansfield Town,300 tys. €,GB4,2021,300000.0
Ross Doohan,Tranmere Rovers,250 tys. €,GB4,2021,250000.0
Anthony Driscoll-Glennon,AFC Barrow,250 tys. €,GB4,2021,250000.0
Anthony Driscoll-Glennon,Grimsby Town,-,GB4,2019,250000.0
Nathan Delfouneso,Bradford City,250 tys. €,GB4,2021,250000.0
Tyler Magloire,Northampton Town,250 tys. €,GB4,2021,250000.0
Tyler Magloire,AFC Rochdale,-,GB3,2019,250000.0
Connor Ripley,Salford City,250 tys. €,GB4,2021,250000.0
Connor Ripley,Accrington Stanley,250 tys. €,GB3,2018,250000.0
George Broadbent,AFC Rochdale,200 tys. €,GB4,2021,
Elliot Anderson,Bristol Rovers,200 tys. €,GB4,2021,3500000.0
Richard Nartey,Mansfield Town,200 tys. €,GB4,2021,200000.0
Richard Nartey,Burton Albion,-,GB3,2019,200000.0
Reece Devine,FC Walsall,150 tys. €,GB4,2021,150000.0
Brad Young,Carlisle United,150 tys. €,GB4,2021,200000.0
Dominic Revan,Northampton Town,150 tys. €,GB4,2021,
Jeriel Dorsett,AFC Rochdale,150 tys. €,GB4,2021,250000.0
